ort_id;name;kategorie;unterkategorie;adresse;plz;stadtteil;bezirk;website;anlagetyp;anlage_hinweise;Ermäßigung;konfession;quelle;quelle_datum;verifiziert;lat;lon;notizen
T001;Altonaer Theater;theater;;Museumsstraße 17;22765;Ottensen;Altona;https://www.altonaer-Theater.de/service/barrierefreiheit/ ;mobile_connect;Eigenes Smartphone oder iPod zum Ausleihen;ja;nan;Webseite;26. März 2026;nein;53.548477;9.934263;
T002;Deutsches Schauspielhaus;theater;;Kirchenallee 39;20099;St. Georg;Hamburg-Mitte;https://schauspielhaus.de/ihr-besuch;mobile_connect;;GdB50;nan;Webseite;26. März 2026;nein;53.554497;10.008936;
T003;Ernst-Deutsch-Theater;theater;;Friedrich-Schütterplatz 1;22087;Uhlenhorst;Hamburg-Nord;www.ernst-deutsch-Theater.de/barrierefreiheit/;funk;Kopfhörerverleih;GdB50;nan;Webseite;26. März 2026;nein;53.569245;10.026195;
T004;Harburger Theater;theater;;Museumsplatz 2;21073;Harburg;Harburg;https://www.harburger-theater.de/barrierefreiheit/;induktion;Reihe 1-3;ja;nan;Webseite;26. März 2026;nein;53.459162;9.97726;
T005;Komödie Winterhuder Fährhaus;theater;;Hudtwalkerstraße 13;22299;Winterhude;Hamburg-Nord;https://www.komoedie-hamburg.de/hygienekonzept-barrierefreiheit/;infrarot;Kinnbügelkopfhörer an der Garderobe;ja;nan;Webseite;26. März 2026;nein;53.593717;9.994248;
T006;Ohnsorg Theater;theater;;Heidi-Kabel-Platz 1;20099;St. Georg;Hamburg-Mitte;https://www.ohnsorg.de/service/barrierefreiheit-am-ohnsorg-theater/;infrarot;Sennheiser Kopfhörer HDI-830 zum Ausleihen;GdB60;nan;Webseite;26. März 2026;nein;53.554502;10.007081;
T007;St. Pauli Theater;theater;;Spielbudenplatz 29-30;20359;St. Pauli;Hamburg-Mitte;https://www.st-pauli-theater.de/karten/#1552992428215-3-4;induktion;Gesamter Parkettbereich (außer Reihe A+B) sowie erster Rang;ja;nan;Webseite;26. März 2026;nein;53.549101;9.962988;
T008;Thalia Theater;theater;;Alstertor;20095;Altstadt;Hamburg-Mitte;https://www.thalia-theater.de/en/accessibility#h%C3%B6rverst%C3%A4rkung;infrarot, DGS (ausgewählt);Ausgewählte Veranstaltungen in DGS;ja;nan;Webseite;26. März 2026;nein;53.552138;9.998668;
T009;Stage Theater an der Elbe;theater;;Norderelbstraße 8;20457;HafenCity;Hamburg-Mitte;https://www.stage-entertainment.de/;funk;Kopfhörer an der Kasse erhältlich;GdB70;nan;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;01. Mai 2020;nein;53.539685;9.974608;
T010;Theater in der Marschnerstraße;theater;;Marschnerstraße 46;22081;Barmbek-Süd;Hamburg-Nord;http://www.theater-marschnerstrasse.de/;infrarot;Empfangsgeräte zum Ausleihen;nein;nan;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;01. Mai 2020;nein;53.573742;10.04005;
T011;Kampnagel;theater;;Jarrestraße 20;22303;Winterhude;Hamburg-Nord;https://kampnagel.de/service/barrierefreiheit/barrierefreie-veranstaltungen;induktion, DGS (ausgewählt), untertitel;K1/K2/K6 – gutes Hören auf allen Plätzen außer erste und letzte Reihe, siehe Programm in Link;ja (außer Konzerte);nan;Webseite;06. April 2026;nein;53.583301;10.022172;
